Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
1280	Nelson DeMille	Spencerville			Kriminull	Hotger	1998		
1281	David Morrell	Öö ja udu liiga			thriller	Olion	2000		
1282	Joy Fielding	Kaotsis killud	Bestseller		thriller	Travon	1997		
1283	Leona Blair	Inglite poolel	Ajaviiteromaan		romaan	Varrak	1996		
1284	Catherine Cookson	Tilly Trotter	Ajaviiteromaan		romaan	Varrak	1997		
1285	Catherine Dunbar	Kuldse paabulinnu tants	Ajaviiteromaan		romaan	Varrak	1997		
1286	Howard Spring	Kaks armastajat tormis pagesid	Ajaviiteromaan		romaan	Varrak	1996		
1287	Rosamunde Pilcher	September	Ajaviiteromaan		romaan	Varrak	1998		
1288	Leona Blair	Lumm	Ajaviiteromaan		romaan	Varrak	1997		
1289	Rosamunde Pilcher	Kojutulek	Ajaviiteromaan		romaan	Varrak	1998		
1290	Noel Barber	Naer ja pisarad	Ajaviiteromaan		romaan	Varrak	2000		
1291	Katie Fforde	Ohtlik elu	Ajaviiteromaan		romaan	Varrak	2000		
1292	Kate Saunders	Öö jôuab meile järele	Ajaviiteromaan		romaan	Varrak	1998		
1293	Maeve Binchy	Peegeljärv	Ajaviiteromaan		romaan	Varrak	1996		
1294	Amy Tan	ônnerôômu Klubi	Ajaviiteromaan		romaan	Varrak	1996		
1295	Brenda Jagger	Talvelaps	Ajaviiteromaan		romaan	Varrak	1998		
1296	Reay Tannahill	Mööduv hiilgus	Ajaviiteromaan		romaan	Varrak	2000		
1297	Susan Isaacs	Peaaegu paradiis	Ajaviiteromaan		romaan	Varrak	1999		
1298	Julie Garwood	Tulgu kevad	Pruun armastus		romaan	Ersen	1998		
1299	Amanda Quick	Hulljulge	Pruun armastus		romaan	Ersen	1999		
1300	Rosamunde Pilcher	Suve hääled			romaan	Eesti Raamat	1998		
1301	Eino Baskin	Baskini anekdoodid		I	naljad	BNS	1998		
1302	Jostein Gaarder	Sofie maailm			filosoofia	Koolibri	1996		
1303	Tom Graves	Pendel			ennustamine	Sinisukk	1998		
1304	Virve Sammalkorpi	Suur horoskoobiraamat			ennustamine	Sinisukk	2000		
1305	Theodora Lau	Hiina horoskoop			ennustamine	Sinisukk	2000		
1306	autorite kollektiiv	1995 puusea aasta			ennustamine	Perioodika	1994		
1307	Lori Reid	Päikesemärgid			ennustamine	Egmont Estonia	1998		
1308	J. Rafael	Globaalhoroskoopia			ennustamine		1992		
1309	autorite kollektiiv	1998 maatiigri aasta			ennustamine	Perioodika	1997		
1310	Arthur Bloch	Murphy seaduste täielik kogu			aforismid	Ersen	1999		
1311	Elmore Leonard	Kuldrannik			kriminull	H&Ko	1996		
1312	Vello Lattik	Muhumaa kuumad naised			romaan		2000		
1313	autorite kollektiiv	Armastuse valgus			luule	Varrak	2000		
1314	Vladimir Majakovski	Luuletusi ja poeeme			luule	Eesti Raamat	1980		
1315	Viivi Luik	Pôliskevad			luule	Eesti Raamat	1975		
1316	Priit Aimla	Valitud teosed			huumor	Eesti Raamat	1981		
1317	Stanislaw Jerzy Lec	Sugemata môtted	Loomingu Raamatukogu	48	aforismid	Perioodika	1977		
1318	Jevgeni Jevtusenko	Loits	Nôukogude luule		luule	Eesti Raamat	1977		
1319	Katre Ligi	Kôgest ei kônni ära	Loomingu Raamatukogu	40	luule	Perioodika	1978		
1320	Bella Ahmadulina	Muusikatunnid	Nôukogude luule		luule	Eesti Raamat	1979		
1321	Joel Sang	Loomariik			luule	Vagabund	1991		
1322	Juhan Viiding	Ma olin Jüri Üdi			luule	Eesti Raamat	1978		
1323	Lehte Hainsalu	Laps tahab klassi kammitsaist lahti			luule	Eesti Raamat	1984		
1324	Debora Vaarandi	Unistaja aknal			luule	Eesti Riiklik Kirjastus	1959		
1325	autorite kollektiiv	Rahutu môte	Eesti luule valimik keskkoolile		luule	Eesti Raamat	1970		
1326	Mats Traat	Valitud luuletused			luule	Eesti Raamat	1979		
1327	Hando Runnel	Punaste ôhtute purpur			luule	Eesti Raamat	1982		
1328	Viivi Luik	Maapäälsed asjad			luule	Eesti Raamat	1978		
1329	Jaan Kross	Vihm teeb toredaid asju			luule	Eesti Raamat	1969		
1330	Mats Traat	Jäälilled			luule	Eesti Raamat	1989		
1331	Arvi Siig	Murdeajastu			luule	Eesti Raamat	1976		
1332	Arvi Siig	Jah			luule	Eesti Raamat	1985		
1333	Hando Runnel	Kodu-käija			luule	Eesti Raamat	1978		
1334	Ave Alavainu	Mul on vaid sônad			luule	Eesti Raamat	1977		
1335	A;eksander Puskin	Jevgeni Onegin			luule	Eesti Raamat	1982		
1336	Aleksander Puskin	Luuletusi ja poeeme			luule	Eesti Raamat	1977		kadunud kellegi Aedu tuttava kätte
1337	Aleksander Puskin	"Luuletused, poeemid"			luule	Eesti Raamat	1972		
1338	autorite kollektiiv	Detsembrilaulud	Klassi almanahh käsikirjas		luule		1979		
1339	autorite kollektiiv	Detsembrilaulud	Klassi almanahh trükitud		luule		1979		
1340	Endel Priidel	Merelaulud			luule	Eesti Raamat	1980		
1341	Pablo Neruda	Kivid ja linnud			luule	Eesti Raamat	1977		
1342	Hando Runnel	Môtelda on mônus			luule	Eesti Raamat	1982		
1343	Ott Arder	Bumerang			luule	Eesti Raamat	1980		
1344	Mart Juur	Eesti koomika			huumor		1995		
1345	Ingel Tael	Merest Tôusnud			luule	Eesti Raamat	1981		
1346	Rein Sander	Lemmiknukrus			luule	Eesti Raamat	1981		
1347	Adolf Rammo	Lembetunnid			luule	Eesti Raamat	1977		
1348	Ott Raun	Hobusel on täna sünnipäev			luule	Eesti Raamat	1973		
1349	Rein Sander	Kolmikratas			luule	Eesti Raamat	1978		
1350	Kaie Talviste	Klaasist silm ja teine ehtne			luule	Eesti Raamat	1979		
1351	Katrin Väli	Eluase			luule	Eesti Raamat	1978		
1352	Kalju Enniko	Roheline süda			luule	Eesti Raamat	1980		
1353	Doris Kareva	Päevapildid			luule	Eesti Raamat	1978		
1354	Madli Morell	Tônismägi			luule	Eesti Raamat	1983		
1355	Julius Ürt	Haljendav ruumala			luule	Eesti Raamat	1981		
