Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
1447	Fjodor Saljapin	Saljapin			biograafia	Eesti Raamat	1966		
1448	Elmar ôun	Aiakultuuride väetamine			teaduslik	Valgus	1983		
1449	Elmar ôun	Aiakultuuride väetamine			teaduslik	Valgus	1980		
1450	P. Sarv	Umbrohud väikeaias			teaduslik	Valgus	1982		
1451	Toivo Niiberg	Aiasaaduste ja seente hapendamine			teaduslik	Valgus	1985		
1452	S. Tvitsur	Atlandi kalu toiduks			teaduslik	Valgus	1963		
1453	Inna Tarmak	"Peeglike, peeglike seina peal"			teaduslik	Valgus	1976		
1454	Aili Kogerman	999 nôuannet vestlusi kodukeemiast			teaduslik	Valgus	1982		
1455	"Lillian Kivi, Milvi Roosleht"	Aabits			vaikelastele	Koolibri	1992		
1456		Peenra roosid			teaduslik				
1457	G. Alschner	Loomade ränded	Teaduse teedel		teaduslik	ERK	1960		
1458	Silvia Rannamaa	Kadri			noortejutt	ERK	1960		
1459	Lehte Heinsalu	Kui ma ükskord…..			poeemid	Oktoober			
1460	Karen A. Simonjan	Ainult kolm pääsevad maale			jutud	Eesti Raamat	1973		
1461	Oskar Luts	Nukitsamees			noortejutt	Eesti Raamat	1973		
1462	Harri Jogisalu	Karp			loodus	Eesti Raamat	1981		
1463	James Oliver Corwood	Pôhja hulkurid			loodus	Eesti Raamat	1975		
1464	Georg loogna	Valu vastu			teaduslik	Valgus	1988		
1465	Eno Raud	Triin ja päike			vaikelastele	Eesti Raamat	1971		
1466		Mis vôib juhtuda kohe parast uinumist			pildivihik				
1467	Ira Lember	Pott peas			vaikelastele	Oktoober	1992		
1468	Iko Maran	Londiste			vaikelastele	Eesti Raamat	1989		
1469	N. Pavilstsikov	Tark loodus			teaduslik	Valgus	1975		
1470	Ivan Franko	"Siis, kui loomad veel rääkisid"			laste	ERK	1959		
1471	M. Laosson	Kolumbuse ja Castro radadel			seiklus	Eesti Raamat	1965		
1472	B. Rjabinin	Sa kasvatasid sôbra			teaduslik	Eesti Raamat	1976		
1473	Mait Metsanurk	Vahesaare Villem*Taavet Soovere elu ja surm*Ennäe inimest	Valitud teosed	I	romaan	ERK	1957		
1474	August Kitzberg	Jutustused	Valitud teosed	II	jutustus	ERK	1955		
1475	Ella Fonjakova	Tolle talve leib			jutustus	Eesti Raamat	1979		
1476	H. Mathevosjan	Roheline org			jutustus	Eesti Raamat	1974		
1477	Erik Püvi	Eluôigusmäng			jutustus	Eesti Raamat	1977		
1478	Riho Lahi	Värdi			romaan	Eesti Raamat	1980		
1479	A. Reitsak	Vestlusi vene ja eesti keeles			leksikon	Valgus	1966		
1480	autorite kollektiiv	Vene-eesti sônaraamat			leksikon	Moskva	1940		
1481	Reet Selg	Vestlusi saksa ja eesti keeles			leksikon	Valgus	1977		
1482	Bruno Betlem	Inglise-eesti taskusônaraamat			leksikon	Valgus	1975		
1483	autorite kollektiiv	Vene keele grammatika teatmik keskkoolidele			ôpik	Valgus	1975		
1484	Voldemar Panso	Portreed minus ja minu ümber			biograafia	Eesti Raamat	1975		
1485	Kaarel Ird	"Cogito, ergo sum"			biograafia	Eesti Raamat	1979		
1486	Artur Rinne	Ja kägu kukub raal…			biograafia	Perioodika	1980		
1487	Aili Raendi	Tartu ajaloo- ja kultuurimälestised			teaduslik	Eesti Raamat	1980		
1488	Edgar Valter	Veekandja			pildivihik	Eesti Raamat	1981		
1489	Veste Paas	Kui tummfilm naeris…	väike filmiraamat		teaduslik	Eesti Raamat	1973		
1490	Edvard Mrolf Stenersen	Edvard Munch			biograafia	Kunst	1985		
1491	ôie Orav	Jüri Järvet	väike filmiraamat		biograafia	Eesti Raamat	1977		
1492	Dora Kogan	Mihhail Vrubel			biograafia	Kunst	1986		
1493	Anton Hansen Tammsaare	Kôrboja peremees			romaan	Eesti Raamat	1967		
1494	Anton Hansen Tammsaare	Jutustusi ja novelle			jutustus	Eesti Raamat	1976		
1495	Anton Hansen Tammsaare	Valitud jutustused			jutustus	Ilukirjandus ja kunst	1949		
1496	Oskar Luts	Lapsepôlv ja kooliiga			mälestused	Ilukirjandus ja kunst	1946		
1497	Eduard Vilde	Mäeküla piimamees			romaan	Ilukirjandus ja kunst	1947		
1498	Eduard Vilde	Jutustused			jutustus	Ilukirjandus ja kunst	1949		
1499	Eduard Vilde	Prohvet Maltsvet	Teosed		romaan	ERK	1954		
1500	Jaan Rannap	Loomalood			jutustus	Eesti Raamat	1984		
1501	Päärn Hint	Vaade orgu				Eesti Raamat	1979		
1502	Enn Vaigur	Koldne sügis			jutustusi	Eesti Raamat	1982		
1503	Aino Pervik	Impulss			novell	Eesti Raamat	1982		
1504	Ülo Tuulik	Kuidas kuulata tormi			jutud	Eesti Raamat	1980		
1505	Toomas Vint	Tantsud Mozarti saatel			novell	Eesti Raamat	1983		
1506	Paul Kuusberg	Üks öö			biograafia	Eesti Raamat	1976		
1507	Mats Traat	"Irdinimene, Türgi oad"			romaan	Eesti Raamat	1977		
1508	Mats Traat	"Puud olid, hellad vennad"			romaan	Eesti Raamat	1979		
1509	Mats Traat	Sügislootus			luule	Eesti Raamat	1986		
1510	Lev Mints	Viimased kiviajast			noorsooraamat	Valgus	1988		
1511	Jaroslav Golovsnov	Etüüde teadlastest				Eesti Raamat	1976		
1512	Aadu Hint	Oma saar			romaan	Eesti Raamat	1989		
1513	Eduard Vilde	Kui Anija mehed Tallinnas käisid			romaan	ERK	1960		
1514	Eduard Vilde	Külmale maale			romaan	ERK	1960		
1515	Eduard Vilde	Mäeküla piimamees			romaan	ERK	1960		
1516	Leida Tigane	Seitse pastlapaari			romaan	Eesti Raamat	1974		
1517	Juhan Peegel	Teed ja risteed			jutud	Eesti Raamat	1976		
1518	Hans Leberecht	Ühes majas			jutustus	ERK	1959		
1519	Oskar Luts	Kevade			romaan	ERK	1959		
1520	Bernhard Kellermänn	Anatoli linn			romaan	ERK	1959		
1521	Karen A. Simonjan	Apteeker Nerses Majaen	15		romaan	Eesti Raamat	1978		
1522	Aleksander Ennuvere	Harrastuskogumine	Kollektsionäär		teaduslik	Valgus	1980		
1523	Valdeko Vende	Filokraatia	Kollektsionäär		teaduslik	Valgus	1981		
1524	Veiko Huovinen	Koeraküüne lôikaja			romaan	Eesti Raamat	1980		
1525	Fjodor Knorre	Omad lapsed			jutustus	Eesti Raamat	1979		
1526	Mihail Sadeoveanu	Armastus lood			romaan	Eesti Raamat	1980		
1527	Petru Dumitriu	Tormikajakas			romaan	ERK	1959		
1528	Uwe Berger	Ränk saatus			romaan	Eesti Raamat	1988		
1529	Vassil Bôkova	Kolmas rakett Sotnikav	15		jutustus	Eesti Raamat	1978		
1530	Andrejs Dripe	Viimane barjäär	15		romaan	Eesti Raamat	1977		
1531	Änuar Älimatzanov	Kuller	15		romaan	Eesti Raamat	1980		
1532	Rimantav Savelis	Jumala talleke	15		romaan	Eesti Raamat	1985		
1533	Hille Karm	99. semestri päev			jutud	Eesti Raamat	1981		
1534	Kati Murutar	ônne tänava lood		III	romaan	Elmar	1997		
1535	Juhan Peegel	Ma langesin esimesel sôja suvel			fragmentaarium	Eesti Raamat	1979		
1536	John Astrop	Minu väike sônn	Väikesed tähed		astroloogija	Sinisukk	1996		
1537	John Astrop	Minu väike ambur	Väikesed tähed		astroloogija	Sinisukk	1996		
1538	Aadu Hint	Saaremaa tütarlarlaps leidis koha			jutustusi	Eesti Raamat	1987		
1539	Inga Raitar	Avaliku elu aastaraamat			teaduslik	Ira	2000		
1540	"Rose Marie, Thomas Donhauser"	Grillimine			kokandus	Bit	2000		
1541	Siim Kärner	Unekaste			luule	Eesti Raamat	1989		
1542	Aivo Löhmus	Aastarangid			luule	Eesti Raamat	1976		
1543	Mats Traat	Hilised talled			luule	Eesti Raamat	1976		
1544	Vaike Pilvistu	Hingeaken			luule	Eesti Raamat	1982		
1545	Doris Kareva	Ööpildid			luule	Eesti Raamat	1980		
1546	Arvo Valton	Uksed kriuksuvad öösiti			luule	Eesti Raamat	1977		
1547	Mats Traat	Harala elulood			luule	Eesti Raamat	1976		
1548	Heldur Karmo	Unustuste jôel			luule	Eesti Raamat	1978		
1549	Minni Nurme	Tuules lendlev seeme			luule	Eesti Raamat	1976		
1550		Sôjasarv			luule	Eesti Raamat	1970		
1551	Leedo Tungal	"Veni, vidi, viidit……"			luule	Eesti Raamat	1979		
1552	Uno Laht	Suitsuangerjad ja kastemärjad roosid			luule	ERK	1960		
1553	Valev Mirtem	Helemite aed			luule	Eesti Raamat	1977		
1554	Velly Verev	Vôilillesaatus			luule	Eesti Raamat	1981		
1555	Rudolf Rimmel	Tasakaal			luule	Eesti Raamat	1987		
1556	Andres Vanapa	Pihlakaviin			luule	Eesti Raamat	1974		
1557	Mats Traat	Legendiku aeg			luule	Eesti Raamat	1977		
1558	Aime Hansen	Kalade kuninga maa			luule	Eesti Raamat	1988		
1559	Katre Ligi	Aeg augustit ära saata			luule	Eesti Raamat	1988		
1560	Blaga Dimitrova	Impulsid			luule	Eesti Raamat	1978		
1561	Mats Traat	Ajalaulud			luule	Eesti Raamat	1990		
1562	Aita Kivi	Üheksa avameelset naist			jutud	Eesti Raamat	1991		
1563	Antoine de Saint-Exupery	Väike prints			romaan	ERK	1960		
1564	Clenn Doman	Kuidas väikelast lugema ôpetada			teaduslik	Katherine	1992		
1565	Emilijan Stanev	"Virsikuvaras, Tarnovo kuninganna"			romaan	Eesti Raamat	1989		
1566	Aleksander Bek	Volokolamski maantee			romaan	ERK	1961		
1567		Portreevisandid			jutud	Eesti Raamat	1967		
1568	Ivan Turgenev	Mumuu			romaan	Ilukirjandus ja kunst	1945		
1569	Aime Maripuu	Oota järgmise hommikuni			romaan	Eesti Raamat	1989		
1570	Irmagard Keun	"Tüdruk, keda peeti halvaks"			romaan	ERK	1959		
1571	Mihhail Solohhov	Inimese saatus			romaan	ERK	1958		
1572	Piret Viires	Tallinna ja Tartu vahel			jutud	Eesti Raamat	1990		
1573	Vello Lattik	Mättalt mättale			jutt	Eesti Raamat	1974		
1574	Bzou Tuhan	Dzuma Ahäba			romaan	Eesti Raamat	1976		
1575	Magda Szabo	Katalini tänav			romaan	Eesti Raamat	1982		
1576	Vladimir Roznov	Prohvetid ja imetegijad			teaduslik	Eesti Raamat	1987		
1577	Peeter Sauter	Indigo			romaan	Eesti Raamat	1990		
1578	Kalju Saaber	Hiiehobune			romaan	Eesti Raamat	1989		
1579	Aleksander Bek	Môned päevad			jutustus	Eesti Raamat	1963		
1580	Anatoli Vinogradov	Paganini			romaan	ERK	1959		
1581	Marcello Venturi	Eikellegimaa			romaan	Eesti Raamat	1986		
1582	Pavel Nilin	"Karmus, Katse aeg"			romaan	ERK	1960		
1583	Heikki Raudla	Aforismide kuldvara			aforismid	Virgela	1999		
1584	autorite kollektiiv	Inglise kirjandus			ôpik	Zvaigzne	1976		
1585	autorite kollektiiv	Madame Tussaud s			pildivihik	London	1996		
1586	autorite kollektiiv	Môttetungal			almanahh	Eesti Raamat	1979		
1587	Anton Hansen Tammsaare	Pôrgupôhja uus vanapagan			romaan	Eesti Raamat	1975		
1588	Friedrich Reinhold Kreutzwald	Kalevipoeg			eepos	ERK	1951		
1589	Herluf Bidstrup	Huumorit ja satiiri			pildivihik	Kunst	1963		
1590	autorite kollektiiv	Üliôpilaslinn Tartu			pildivihik	Eesti Raamat	1986		
1591	autorite kollektiiv	"Meri, mu meri"			pildivihik	Eesti Raamat	1988		
1592	autorite kollektiiv	Selgrootud I	Loomade elu	1	entsüklopeedia	Valgus	1981		
1593	autorite kollektiiv	Selgrootud II	Loomade elu	2	entsüklopeedia	Valgus	1982		
1594	autorite kollektiiv	Selgrootud III	Loomade elu	3	entsüklopeedia	Valgus	1984		
1595	autorite kollektiiv	Kalad	Loomade elu	4	entsüklopeedia	Valgus	1979		
1596	autorite kollektiiv	Kahepaiksed ja roomajad	Loomade elu	5	entsüklopeedia	Valgus	1985		
1597	autorite kollektiiv	Linnud	Loomade elu	6	entsüklopeedia	Valgus	1980		
1598	autorite kollektiiv	Imetajad	Loomade elu	7	entsüklopeedia	Valgus	1987		
1599	autorite kollektiiv	Noorte kalender 1990			kalender	Eesti Raamat	1989		
1600	Elmar Nugis	Ajaviiteraamat				Perioodika	1991		
1601	Priit Aimla ja Heinz Valk	Imelised aastad			huumor	Olion	1991		
1602	Ivar Kallion	Naerge kaasa			huumor	Olion	1991		
1603	Kaido Liiva	Külaskäik kollasesse linna			huumor	Eesti Raamat	1988		
1604		Eesti NSV Maakoodeks			seadus	Eesti Raamat	1970		
1605		Eesti NSV Maakoodeks			seadus	Eesti Raamat	1983		
1606		Eesti Vabariigi maareformi seadus	RT I  nr 10		seadus	Riigi Teataja	1995		
1607	Evald Kree	Tennisisti ABC			ôpik	Eesti Raamat	1972		
1608	Aleksander Bek	Uus ametikoht			romaan	Eesti Raamat	1988		
1609	Antti Tuuri	Talvesôda			romaan	Eesti Raamat	1990		
1610	Ingeborg Bachmann	Malina			romaan	Eesti Raamat	1992		
1611	Viljo Anslan	Konterbant			romaan	Eesti Raamat	1990		
1612	Alberto Moravia	Konformist			romaan	Eesti Raamat	1990		
1613	Theodor Fontane	Proua Jenny Treibel * Stine			romaan	Eesti Raamat	1989		
1614	Bill Naughton	Väravavahi vastulöök			romaan	Eesti Raamat	1973		
1615	Antti Tuuri	Pohjanmaa			romaan	Eesti Raamat	1989		
1616	John Steinbeck	Me tusameele talv			romaan	Eesti Raamat	1982		
1617	Gyula Hernadi	Kindlus			romaan	Eesti Raamat	1980		
1618	Ingrid Möller	Maja kanali ääres			romaan	Kunst	1988		
1619	I. Grekova	Salakarid			romaan	Eesti Raamat	1987		
1620	Valeri Geideko	Direktori eraelu			romaan	Eesti Raamat	1985		
1621	Christoph Hein	Vôôras sôber * Horni lôpp			romaan	Eesti Raamat	1988		
1622	Joaquin Gutierrez	"Sureme, Frederico"			romaan	Eesti Raamat	1978		
1623	Vercors	Ebaloomad			romaan	Eesti Raamat	1970		
1624	Antti Hyry	Sild liigub * Maatuul			romaan	Eesti Raamat	1989		
1625	Eeva Tikka	Tundruhunt			romaan	Eesti Raamat	1981		
1626	Michel Tournier	Reede ehk lootusesaar Vaikses ookeanis			romaan	Eesti Raamat	1989		
1627	Eeva Tikka	Vaikne suvi			romaan	Eesti Raamat	1989		
1628	Vladimir Paral	Katapult	Loomingu Raamatukogu	34-37	romaan	Prioodika	1986		
1629	Svava Jakobsdottir	Pidu ilumüüri ääres	Loomingu Raamatukogu	31	jutud	Perioodika	1986		
1630	Ramunas Klimas	"Kiecius, kuupaiste ja kaherublane portvein"	Loomingu Raamatukogu	4		Perioodika	1987		
1631	Heinrich Böll	Iiri Päevik	Loomingu Raamatukogu	5.6		Perioodika	1987		
1632	Dumitru Radu Popescu	Iha	Loomingu Raamatukogu	7.8		Perioodika	1987		
1633	Valentin Rasputin	Raha Mariale. Tulekahi	Loomingu Raamatukogu	"9,10,11"		Perioodika	1987		
1634	Enn Vetemaa	Tulnuk	Loomingu Raamatukogu	12.13		Perioodika	1987		
1635	Raija Siekkinen	Elu keskpunkt	Loomingu Raamatukogu	14.15		Perioodika	1987		
1636	Jorge Luis Borges	Aleph	Loomingu Raamatukogu	17.18		Perioodika	1987		
1637	Pavel Gurevits	Müstika ja tänapäev	Loomingu Raamatukogu	"19,20,21"		Perioodika	1987		
1638	autorite kollektiiv	Valik I	Loomingu Raamatukogu	25.26	esseed	Perioodika	1987		
1639	Walter Matthias Diggelmann	Aga kirsipuu on olemas	Loomingu Raamatukogu	"31,32,33"		Perioodika	1987		
1640	Jaak Jôerüüt	Teateid surmast	Loomingu Raamatukogu	34		Perioodika	1987		
1641	Fazil Iskander	Tsegemi Carmen. Baarimees Adgur	Loomingu Raamatukogu	35		Perioodika	1987		
1642	Vennad Vainerid	Allaaetud kassid ja koerad	Loomingu Raamatukogu	37.38		Perioodika	1987		
1643	John Milton	Areopagitica	Loomingu Raamatukogu	36		Perioodika	1987		
1644	Karl Ristikivi	Lohe hambad	Loomingu Raamatukogu	"40,41,42"		Perioodika	1987		
1645	Margaret Atwood	Tantsutüdrukud	Loomingu Raamatukogu	43.44		Perioodika	1987		
1646	Indrek Hirv	Uneraev	Loomingu Raamatukogu	45	luule	Perioodika	1987		
1647	Hugo Worms-Becher	Koduôu	Loomingu Raamatukogu	46		Perioodika	1987		
1648	Arto Paasilinna	Ulguv Mölder	Loomingu Raamatukogu	"47,48,49,50"		Perioodika	1987		
1649	Daphne du Maurier	ôunapuu ja SISUKORD	Loomingu Raamatukogu	51.52		Perioodika	1987		
1650	autorite kollektiiv	Kalender 1988			kalender	Eesti Raamat	1987		
1651	autorite kollektiiv	Kalender 1989			kalender	Eesti Raamat	1988		
1652	autorite kollektiiv	Kalender 1990			kalender	Eesti Raamat	1989		
1653	Sandra Brown	Saatuslik suudlus	Väikesed lilledega armastusromaanid		romaan	Ersen	2000		
1654	piibel	Katekismuse ôpetus (Peet Toos)			Piibel		1819		
1655	piibel	Uus lauluraamat (Anna Miiler)			Piibel		1923		
1656	piibel	Uus testament (saksa keeles Anna Miiller)			Piibel		1872		
1657	piibel	Uus testament  (Aet Toose)			Piibel		1902		
1658	Juhanni Aho	Südametunnistus			jutt		1927		
1659	piibel	Piibel			Piibel		1825		
1660	Joel Sang	Abisônad	Loomingu Raamatukogu	1	luule	Perioodika	1983		
1661	Stendahl	Lamiel	Loomingu Raamatukogu	2.3	romaan	Perioodika	1983		
1662	Boriss Jekimov	Tohuvabohu	Loomingu Raamatukogu	4		Perioodika	1983		
1663	Leonid Zorin	Peateema	Loomingu Raamatukogu	8.9		Perioodika	1983		
1664	Daniel Musinskas	"ôhtu, mille pani kirja Mickus"	Loomingu Raamatukogu	46		Perioodika	1983		
1665	Valentin Tsernôhh	Halamisest pole abi	Loomingu Raamatukogu	18		Perioodika	1983		
1666	Jaroslaw Hasek	Geniaalne idioot	Loomingu Raamatukogu	20.21		Perioodika	1983		
1667	Peet Vallak	Hinge Taud	Loomingu Raamatukogu	22.23		Perioodika	1983		
1668	Vadim Sefner	Viie veaga noormees ehk ühe lihtsameelse pihtimus	Loomingu Raamatukogu	24.25		Perioodika	1983		
1669	Hugo Raudsepp	Sinimandria	Loomingu Raamatukogu	26		Perioodika	1983		
1670	Franz Kafka	Öösel	Loomingu Raamatukogu	27		Perioodika	1983		
1671	Vladimir Majakovski	Vladimir Majakovski	Loomingu Raamatukogu	28	luule	Perioodika	1983		
1672	Lidia Seifullina	Seaduserikkujad	Loomingu Raamatukogu	"30,31,32,33"		Perioodika	1983		
1673	Johan Bargum	Eradetektiiv	Loomingu Raamatukogu	34.35		Perioodika	1983		
1674	Abel Posse	Daimon	Loomingu Raamatukogu	"36,37,38,39"		Perioodika	1983		
1675	autorite kollektiiv	Kui palju on maailmas värve	Loomingu Raamatukogu	40	luule	Perioodika	1983		
1676	Vladimir Levi	Kunst olla ise	Loomingu Raamatukogu	"41,42,43"		Perioodika	1983		
1677	Elias Canetti	Maailm peas	Loomingu Raamatukogu	10.11		Perioodika	1983		
1678	Jean Giono	Külajutud	Loomingu Raamatukogu	44.45		Perioodika	1983		
1679	Doris Lessing	Ellujäänu mälestused	Loomingu Raamatukogu	47-49		Perioodika	1983		
1680	Rezo Tseisvili	Luca Pacioli viimased eluaastatad	Loomingu Raamatukogu	50		Perioodika	1983		
1681	Aron Tamasi	Talv orus	Loomingu Raamatukogu	51.52		Perioodika	1983		
1682	Teet Kallas	Arvi kamin	Loomingu Raamatukogu	1		Perioodika	1982		
1683	Sergei Narovtsatov	Absoluut	Loomingu Raamatukogu	2		Perioodika	1982		
1684	Santideva	Bodhi-Tsarjavatara	Loomingu Raamatukogu	3.4		Perioodika	1982		
1685	Thomas Mann	Mario ja vôlur	Loomingu Raamatukogu	8		Perioodika	1982		
1686	autorite kollektiiv	Lugupeetud vannutatud mehed	Loomingu Raamatukogu	9.1	kohtukôned	Perioodika	1982		
1687	Vlafimir Tendrjakov	Kuuskümmend küünalt	Loomingu Raamatukogu	12.13	jutustus	Perioodika	1982		
1688	Joakuin Grau	Diktaatori surm	Loomingu Raamatukogu	14.15	jutte	Perioodika	1982		
1689	Aleksandr Zitinski	Zitenski trepp	Loomingu Raamatukogu	16-18	jutustus	Perioodika	1982		
1690	Hans Laansalu	Tuuline saar	Loomingu Raamatukogu	19	stsenaarium	Perioodika	1982		
1691	Josef Frais	Mehed Maa-aluselt mandrilt	Loomingu Raamatukogu	20.21		Perioodika	1982		
1692	Banguolis Balasevitsius	Kümme tuhat Einsteini	Loomingu Raamatukogu	22		Perioodika	1982		
1693	Aivars Kalve	Hüvastijätt	Loomingu Raamatukogu	25.26		Perioodika	1982		
1694	Leonid Andrejev	Saatana päevik	Loomingu Raamatukogu	27-29		Perioodika	1982		
1695	autorite kollektiiv	Sôna	Loomingu Raamatukogu	38/39		Perioodika	1982		
1696	Arthur Bloch	"Murphy seadus ja teisi asju, miks asjad untsu lähevad"	Loomingu Raamatukogu	40	amforismid	Perioodika	1982		
1697	Maulana Fahruddin Ali Safi	Inimlikud imetabasused	Loomingu Raamatukogu	41-43		Perioodika	1982		
1698	James Aldridga	Viimne pilguheit	Loomingu Raamatukogu	45-47		Perioodika	1982		
1699	Timo K. Mukka	Laul Sipirja lastest	Loomingu Raamatukogu	47.48		Perioodika	1982		
1700	Bjornstjerne Bjornson	Maateadus ja armastus	Loomingu Raamatukogu	49	näidend	Perioodika	1982		
1701	Ernesto Sabato	Tunnel	Loomingu Raamatukogu	50.51		Perioodika	1982		
1702	Juri Trifonov	Äraspidi maja	Loomingu Raamatukogu	52		Perioodika	1982		
1703	Ilkka Pitkänen	Pasi ja Lennu * Tavalised inimesed	Loomingu Raamatukogu	4.5		Perioodika	1984		
1704	Jaroslaw Iwaszkiewicz	Inglite Joanna	Loomingu Raamatukogu	"6,7,8"		Perioodika	1984		
1705	Kobo Abe	Härra S. Karma Kuritöö	Loomingu Raamatukogu	9		Perioodika	1984		
1706	Arthur Bloch	"Murphy seadus uusi pôhjusi, miks asjad untsu lähevad"	Loomingu Raamatukogu	48		Perioodika	1984		
1707	Frederico Fellini Tonino Guerra	Amarcord	Loomingu Raamatukogu	4.5		Perioodika	1981		
1708	Frederch Dürrenmatt	Herakles ja Augeiase tall	Loomingu Raamatukogu	6		Perioodika	1981		
1709	Wolfgang Kohlhaase	Uusaasta Balzaciga	Loomingu Raamatukogu	10		Perioodika	1981		
1710	John Fowels	Eebenipuust torn	Loomingu Raamatukogu	16.17		Perioodika	1981		
1711	Matti Mazajev	Triumfivärav	Loomingu Raamatukogu	14.15		Perioodika	1981		
1712	Ivan Bunin	Suure paastu esmaspäev	Loomingu Raamatukogu	"18,19,20"		Perioodika	1981		
1713	Vilhelm Moberg	Kohtunik	Loomingu Raamatukogu	21.22	näidend	Perioodika	1981		
1714	Saulius Tomas Kondrotas	Kentaurivapi suguvôsa	Loomingu Raamatukogu	39		Perioodika	1981		
1715	Aleksandr Gelman	"Meie, Allakirjutanud"	Loomingu Raamatukogu	41.42	näidend	Perioodika	1981		
1716	Juhani Peltonen	Märtsiudu	Loomingu Raamatukogu	43.44		Perioodika	1981		
1717	Karel Capek	Kuidas sünnib näitemäng. Kuidas tehakse filmi	Loomingu Raamatukogu	45.46		Perioodika	1981		
1718	autorite kollektiiv	Sôna	Loomingu Raamatukogu	47		Perioodika	1981		
1719	Jaan Kross	Ülesôidukohad	Loomingu Raamatukogu	52		Perioodika	1981		
1720	Rein Saluri	Mees teab	Loomingu Raamatukogu	1		Perioodika	1979		
1721	Patrick White	Hiilija öö kakaduud	Loomingu Raamatukogu	2.3		Perioodika	1979		
1722	Viktors Lagzdins	Môrv metsatalus	Loomingu Raamatukogu	28-30	kriminaalromaan	Perioodika	1979		
1723	Juri Olesa	Ei ühtki päeva reata	Loomingu Raamatukogu	4.5	märkmikest	Perioodika	1979		
1724	Isidor Goldman	Lugusid vanast Tallinnast	Loomingu Raamatukogu	17		Perioodika	1979		
1725	Erno Paasilinna	Kadunud armee	Loomingu Raamatukogu	20/21		Perioodika	1979		
1726	Juozaz Aputis	"Ah, Teofilis"	Loomingu Raamatukogu	22		Perioodika	1979		
1727	Hans Scherifig	Idealistid	Loomingu Raamatukogu	30-32		Perioodika	1979		
1728	Ike Volkov	Sügis äärelinna tänavatel	Loomingu Raamatukogu	39		Perioodika	1979	luule	
1729	Pio Baroja	Vagabund Elizabide	Loomingu Raamatukogu	8		Perioodika	1979		
1730	Jerzi Broszkiewick	"Lemuel Gulliveri kaks seiklust, Väljavôte vanast kroonikast"	Loomingu Raamatukogu	9.1		Perioodika	1979	näidend	
1731	Juan Rulfo	Pedro Paramo	Loomingu Raamatukogu	14/15		Perioodika	1979		
1732	Günter Herburger	"Külakooliôpetaja Hofer, Suvistejuhtum"	Loomingu Raamatukogu	6		Perioodika	1979		
1733	Vsevolod Meierhold	Meierhold meierholdluse vastu	Loomingu Raamatukogu	40-42		Perioodika	1979		
1734	Mario Soldati	Näitleja	Loomingu Raamatukogu	43-46		Perioodika	1979		
1735	Revaz Ivanisvili	Keegi jääb bussist maha*Helesinine lôngakera	Loomingu Raamatukogu	47-48		Perioodika	1979		
1736	Jüri Tuulik	Vares	Loomingu Raamatukogu	49-51		Perioodika	1979		
1737	autorite kollektiiv	Purjetan punasta merda	Loomingu Raamatukogu	1.2	regivärsiline merelaul	Perioodika	1980		
1738	Flannery O^Connor	Tôusuteel kohtuvad kôik	Loomingu Raamatukogu	3		Perioodika	1980		
1739	Nikolai Bulgakov	Ma lägen ôue	Loomingu Raamatukogu	4		Perioodika	1980		
1740	Robert Merle	Kaitstud mehed	Loomingu Raamatukogu	"5,6,7,8"	romaan	Perioodika	1980		
1741	Harijs Galins	Surma oksjon	Loomingu Raamatukogu	9.1		Perioodika	1980		
1742	Stig Claesson	Kes armastab Yngve Frejd	Loomingu Raamatukogu	11.12		Perioodika	1980		
1743	Jaan Kross	Kajalood	Loomingu Raamatukogu	18-19		Perioodika	1980		
1744	Sergei Zalôgin	Minajutud	Loomingu Raamatukogu	21/22		Perioodika	1980		
1745	autorite kollektiiv	Sôna	Loomingu Raamatukogu	25/26		Perioodika	1980		
1746	Andres Ehin	Ajaviite peerud lähevad lausa lôkendama	Loomingu Raamatukogu	33		Perioodika	1980		
1747	J. Randvere(Johannes Aavik)	Ruth	Loomingu Raamatukogu	34/35		Perioodika	1980		
1748	Herbert Ernest Bates	Armastatud Lydia	Loomingu Raamatukogu	36-39		Perioodika	1980		
1749	autorite kollektiiv	Bhagavad-gita(sanskriti keelest)	Loomingu Raamatukogu	40/41	aforismid	Perioodika	1980		
1750	autorite kollektiiv	Sôna	Loomingu Raamatukogu	46/47		Perioodika	1980		
1751	Odisseas Elitis	ôige on	Loomingu Raamatukogu	48/49		Perioodika	1980		
1752	Isaac Bashevis Singer	Surnud moosekant	Loomingu Raamatukogu	50-52		Perioodika	1980		
1753	Daniil Granin	Nimekaim	Loomingu Raamatukogu	12.13		Perioodika	1978		
1754	Jean Cocteau	Kolm näidendit	Loomingu Raamatukogu	15-17		Perioodika	1978		
1755	Kalju Saaber	"Mees, naine ja bernhardiin"	Loomingu Raamatukogu	18		Perioodika	1978		
1756	Dibas Kaintsin	Kaktantsi ja teisi jutte	Loomingu Raamatukogu	19/20		Perioodika	1978		
1757	Andrei Balabuhha	Eelkäijad	Loomingu Raamatukogu	23		Perioodika	1978		
1758	Jawaharal Nehru	India avastamine	Loomingu Raamatukogu	24-26		Perioodika	1978		
1759	Vytautas Martinkus	Tuulelipp perekonnapeoks	Loomingu Raamatukogu	27/28		Perioodika	1978		
1760	Boriss Lavrenjov	Tuul	Loomingu Raamatukogu	29		Perioodika	1978		
